date,temperature,humidity
2022-05-01 00:00:00,21.435889238753752,41
2022-05-01 00:30:00,17.578733894861802,68
2022-05-01 01:00:00,20.26605193538251,24
2022-05-01 01:30:00,18.53394494300101,47
2022-05-01 02:00:00,24.077908671847048,30
2022-05-01 02:30:00,21.787976809579476,56
2022-05-01 03:00:00,21.847010529338334,61
2022-05-01 03:30:00,17.783671623015515,42
2022-05-01 04:00:00,19.89216551798424,53
2022-05-01 04:30:00,23.37806411733045,50
2022-05-01 05:00:00,18.799623068902196,53
2022-05-01 05:30:00,20.271664703210163,48
2022-05-01 06:00:00,24.437476537643477,63
2022-05-01 06:30:00,22.36956989555578,25
2022-05-01 07:00:00,22.679714334104006,70
2022-05-01 07:30:00,17.377794396560027,22
2022-05-01 08:00:00,22.088783360696738,77
2022-05-01 08:30:00,23.23142511756177,76
2022-05-01 09:00:00,22.003546945054456,70
2022-05-01 09:30:00,24.36044562684573,26
2022-05-01 10:00:00,23.9827044902584,34
2022-05-01 10:30:00,19.68768834476704,32
2022-05-01 11:00:00,24.945881716021848,48
2022-05-01 11:30:00,20.411968065660368,41
2022-05-01 12:00:00,23.98630996118603,60
2022-05-01 12:30:00,22.587673838750575,38
2022-05-01 13:00:00,24.76229371421439,42
2022-05-01 13:30:00,23.127555970946545,51
2022-05-01 14:00:00,23.36669250390447,63
2022-05-01 14:30:00,23.936387698076913,41
2022-05-01 15:00:00,20.739246063052228,69
2022-05-01 15:30:00,22.243082899706373,39
2022-05-01 16:00:00,24.06600254760438,52
2022-05-01 16:30:00,22.564271504713744,68
2022-05-01 17:00:00,20.427009016494313,33
2022-05-01 17:30:00,17.027670735402307,20
2022-05-01 18:00:00,17.364217930662306,24
2022-05-01 18:30:00,24.927175665864354,70
2022-05-01 19:00:00,24.871529524745476,77
2022-05-01 19:30:00,21.527825863120214,30
2022-05-01 20:00:00,22.406591612368352,43
2022-05-01 20:30:00,21.611996835623685,56
2022-05-01 21:00:00,19.48478204187673,40
2022-05-01 21:30:00,19.92961475018719,58
2022-05-01 22:00:00,24.60336216860724,60
2022-05-01 22:30:00,18.223559020776406,57
2022-05-01 23:00:00,17.93098475648017,21
2022-05-01 23:30:00,20.97980751293347,49
2022-05-02 00:00:00,17.591954578292103,71
2022-05-02 00:30:00,18.95362389858998,67
2022-05-02 01:00:00,23.032542008256268,25
2022-05-02 01:30:00,19.793533004742784,56
2022-05-02 02:00:00,20.103027265616575,65
2022-05-02 02:30:00,24.17942766445882,80
2022-05-02 03:00:00,23.99224353230867,80
2022-05-02 03:30:00,17.243724465617486,52
2022-05-02 04:00:00,21.90717505386124,72
2022-05-02 04:30:00,22.032810447832613,65
2022-05-02 05:00:00,20.89403361193459,20
2022-05-02 05:30:00,19.853562585791032,48
2022-05-02 06:00:00,21.29134429976508,47
2022-05-02 06:30:00,20.67989098328379,74
2022-05-02 07:00:00,18.414450010290288,31
2022-05-02 07:30:00,21.17450095949834,44
2022-05-02 08:00:00,17.128023312983274,60
2022-05-02 08:30:00,17.282560030023365,42
2022-05-02 09:00:00,21.15895464512023,37
2022-05-02 09:30:00,21.969618643618162,49
2022-05-02 10:00:00,21.946005962362104,26
2022-05-02 10:30:00,23.84842177599787,68
2022-05-02 11:00:00,22.280665394499003,62
2022-05-02 11:30:00,23.84702285612363,67
2022-05-02 12:00:00,18.10065033923827,52
2022-05-02 12:30:00,24.579981276294355,24
2022-05-02 13:00:00,24.35707027750682,38
2022-05-02 13:30:00,24.844627989427384,24
2022-05-02 14:00:00,20.225897908983917,28
2022-05-02 14:30:00,17.111265277534073,55
2022-05-02 15:00:00,23.545601255358346,21
2022-05-02 15:30:00,20.375560401515074,78
2022-05-02 16:00:00,24.83950411114916,27
2022-05-02 16:30:00,19.944904582137873,22
2022-05-02 17:00:00,24.863578599631083,54
2022-05-02 17:30:00,20.288480531649853,32
2022-05-02 18:00:00,19.028832848415462,42
2022-05-02 18:30:00,24.619282195800714,34
2022-05-02 19:00:00,20.019777841059167,72
2022-05-02 19:30:00,17.091553357798723,46
2022-05-02 20:00:00,18.35186005652278,36
2022-05-02 20:30:00,18.967362517865688,39
2022-05-02 21:00:00,18.11716492384134,44
2022-05-02 21:30:00,21.025607462426702,29
2022-05-02 22:00:00,22.30899559546418,39
2022-05-02 22:30:00,19.399117598444285,38
2022-05-02 23:00:00,19.497227748465143,66
2022-05-02 23:30:00,21.10564379131109,34
2022-05-03 00:00:00,24.840025378990205,27
2022-05-03 00:30:00,22.050433800362846,73
2022-05-03 01:00:00,21.913189353051948,62
2022-05-03 01:30:00,24.098609907367752,43
2022-05-03 02:00:00,19.8917416273759,46
2022-05-03 02:30:00,24.062015583456045,32
2022-05-03 03:00:00,17.152903124795746,71
2022-05-03 03:30:00,20.664966778297007,33
2022-05-03 04:00:00,18.755917640547466,24
2022-05-03 04:30:00,18.518685892212183,50
2022-05-03 05:00:00,24.376140874235897,32
2022-05-03 05:30:00,24.966700650650836,20
2022-05-03 06:00:00,17.911835292090498,24
2022-05-03 06:30:00,18.698666633540846,40
2022-05-03 07:00:00,24.74639559066411,43
